ID,time,Position X,Position Z,car speed(m/s),car Acc,Yaw Angle,left edge,right edge,LC,LB Position X,LB Position Z,LB speed,LB Acc,LF Position X,LF Position Z,LF speed,LF Acc,B Position X,B Position Z,B speed,B Acc,F Position X,F Position Z,F speed,F Acc,RB Position X,RB Position Z,RB speed,RB Acc,RF Position X,RF Position Z,RF speed,RF Acc
89709,0.06720,4754.48,7491.674,21.241,0.309,1.70,0.00,0.00,0.00,0.00,0.00,0.000,0.000,18.15,52.65,23.025,1.600,-5.43,-65.01,13.786,0.123,65.73,132.30,18.872,1.601,-8.19,-110.44,19.162,0.000,27.99,59.90,23.853,1.923
89709,0.16720,4756.58,7491.400,21.213,0.302,1.70,0.00,0.00,0.00,0.00,0.00,0.000,0.000,18.98,52.67,22.968,1.573,-5.30,-65.76,13.790,0.155,67.01,131.59,18.872,1.905,-8.00,-110.66,19.162,0.000,28.91,59.98,23.834,1.952
89709,0.26720,4758.68,7491.125,21.185,0.322,1.70,0.00,0.00,0.00,0.00,0.00,0.000,0.000,19.82,52.69,22.922,1.587,-5.16,-66.51,13.798,0.159,68.29,130.88,18.872,0.200,-7.81,-110.88,19.162,0.000,29.85,60.05,23.816,1.989
89709,0.36720,4760.78,7490.849,21.157,0.386,1.70,0.00,0.00,0.00,0.00,0.00,0.000,0.000,20.69,52.69,22.883,1.586,-5.05,-67.25,13.817,0.229,69.62,130.14,18.872,0.211,-7.63,-111.09,19.162,0.000,30.82,60.10,23.797,2.002
89709,0.46720,4762.88,7490.569,21.129,0.500,1.70,0.00,0.00,0.00,0.00,0.00,0.000,0.000,21.60,52.68,22.847,1.592,-4.97,-67.99,13.846,0.339,71.03,129.36,18.872,1.945,-7.51,-111.30,19.162,0.000,31.84,60.13,23.779,2.030
89709,0.56720,4764.97,7490.285,21.101,0.569,1.70,0.00,0.00,0.00,0.00,0.00,0.000,0.000,22.56,52.64,22.812,1.606,-4.94,-68.71,13.887,0.455,72.55,128.51,18.872,1.962,-7.48,-111.50,19.162,0.013,32.92,60.13,23.768,2.053
89709,0.66720,4767.06,7489.996,21.074,0.634,1.71,0.00,0.00,0.00,0.00,0.00,0.000,0.000,23.58,52.57,22.778,1.618,-4.95,-69.43,13.938,0.572,74.17,127.60,18.873,0.267,-7.51,-111.69,19.162,0.019,34.07,60.10,23.756,2.075
89709,0.76720,4769.14,7489.701,21.046,0.691,1.71,0.00,0.00,0.00,0.00,0.00,0.000,0.000,24.63,52.49,22.745,1.634,-4.98,-70.13,14.001,0.691,75.85,126.64,18.873,1.980,-7.57,-111.88,19.162,0.031,35.26,60.04,23.742,2.114
89709,0.86720,4771.23,7489.400,21.018,0.728,1.71,0.00,0.00,0.00,0.00,0.00,0.000,0.000,25.72,52.39,22.664,2.070,-5.03,-70.82,14.074,0.809,77.56,125.65,18.873,1.996,-7.65,-112.06,19.162,0.044,36.49,59.96,23.726,2.140
89709,0.96720,4773.30,7489.093,20.990,0.832,1.72,0.00,0.00,0.00,0.00,0.00,0.000,0.000,26.82,52.26,22.553,1.807,-5.09,-71.51,14.158,0.927,79.31,124.64,18.873,2.017,-7.75,-112.24,19.162,0.057,37.74,59.86,23.708,2.165
89709,1.06720,4775.38,7488.777,20.962,0.993,1.72,0.00,0.00,0.00,0.00,0.00,0.000,0.000,27.97,52.11,22.480,1.721,-5.18,-72.18,14.252,1.042,81.13,123.56,18.873,2.035,-7.88,-112.42,19.162,0.072,39.05,59.73,23.692,2.185
89709,1.16720,4777.45,7488.452,20.935,1.032,1.73,0.00,0.00,0.00,0.00,0.00,0.000,0.000,29.18,51.91,22.426,1.692,-5.31,-72.83,14.357,1.157,83.05,122.41,18.873,2.046,-8.09,-112.58,19.162,0.090,40.43,59.55,23.675,2.209
