car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
22.092,-0.78,0,0,0,0,0,0,0,0,0,0,0,0,5.01,-61.23,18.227,0,0,0,0
22.181,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,5.23,-61.55,18.227,0,0,0,0
22.267,-0.82,0,0,0,0,0,0,0,0,0,0,0,0,5.47,-61.87,18.228,0,0,0,0
22.353,-0.83,0,0,0,0,0,0,0,0,0,0,0,0,5.6,-62.21,18.228,0,0,0,0
22.44,-0.84,0,0,0,0,0,0,0,0,0,0,0,0,5.84,-62.55,18.228,0,0,0,0
22.526,-0.84,0,0,0,0,0,0,0,0,0,0,0,0,5.95,-62.92,18.228,0,0,0,0
22.612,-0.85,0,0,0,0,0,0,0,0,0,0,0,0,6.15,-63.29,18.228,0,0,0,0
22.698,-0.85,0,0,0,0,0,0,0,0,0,0,0,0,6.33,-63.67,18.228,0,0,0,0
22.784,-0.86,0,0,0,0,0,0,0,0,0,0,0,0,6.42,-64.07,18.229,0,0,0,0
22.87,-0.86,0,0,0,0,0,0,0,0,0,0,0,0,6.67,-64.47,18.229,0,0,0,0
22.647,-0.87,0,0,0,0,0,0,0,0,0,0,0,0,6.77,-64.87,18.229,0,0,0,0
22.603,-0.91,0,0,0,0,0,0,0,0,0,0,0,0,7,-65.21,18.229,0,0,0,0
22.581,-0.95,0,0,0,0,0,0,0,0,0,0,0,0,7.27,-65.53,18.229,0,0,0,0
22.544,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,7.51,-65.87,18.229,0,0,0,0
22.509,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,7.61,-66.23,18.23,0,0,0,0
22.483,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,7.79,-66.59,18.23,0,0,0,0
22.449,-0.95,0,0,0,0,0,0,0,0,0,0,0,0,7.97,-66.95,18.23,0,0,0,0
22.409,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,8.18,-67.3,18.23,0,0,0,0
22.377,-0.98,0,0,0,0,0,0,0,0,0,0,0,0,8.4,-67.63,18.23,0,0,0,0
22.349,-1.01,0,0,0,0,0,0,0,0,0,0,0,0,8.65,-67.95,18.23,0,0,0,0
22.319,-1.02,0,0,0,0,0,0,0,0,0,0,0,0,8.78,-68.3,18.23,0,0,0,0
22.29,-1.03,0,0,0,0,0,0,0,0,0,0,0,0,9.02,-68.63,18.231,0,0,0,0
22.261,-1.03,0,0,0,0,0,0,0,0,0,0,0,0,9.13,-68.97,18.231,0,0,0,0
22.23,-1.03,0,0,0,0,0,0,0,0,0,0,0,0,9.21,-69.32,18.231,0,0,0,0
22.21,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,9.37,-69.66,18.231,0,0,0,0
22.238,-1.05,0,0,0,0,0,0,0,0,0,0,0,0,9.58,-69.99,18.231,0,0,0,0
22.226,-1.07,0,0,0,0,0,0,0,0,0,0,0,0,9.66,-70.33,18.231,0,0,0,0
22.224,-1.08,0,0,0,0,0,0,0,0,0,0,0,0,9.81,-70.67,18.231,0,0,0,0
22.23,-1.08,0,0,0,0,0,0,0,0,0,0,0,0,9.96,-71.01,18.232,0,0,0,0
22.22,-1.09,0,0,0,0,0,0,0,0,0,0,0,0,10.13,-71.35,18.232,0,0,0,0
22.228,-1.09,0,0,0,0,0,0,0,0,0,0,0,0,10.13,-71.71,18.232,0,0,0,0
22.218,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,10.27,-72.05,18.232,0,0,0,0
22.233,-1.11,0,0,0,0,0,0,0,0,0,0,0,0,10.41,-72.4,18.232,0,0,0,0
22.215,-1.12,0,0,0,0,0,0,0,0,0,0,0,0,10.45,-72.75,18.232,0,0,0,0
22.233,-1.13,0,0,0,0,0,0,0,0,0,0,0,0,10.58,-73.1,18.232,0,0,0,0
