car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
21.674,1.53,0,0,0,0,0,0,-14.16,-143.34,15.959,1.19,119.24,17.338,-2.03,-43.84,16.51,-2.14,148.49,15.44,0
21.698,1.55,0,0,0,0,0,0,-13.85,-143.96,15.844,1.23,118.8,17.126,-1.98,-44.35,16.561,-2.11,147.86,15.431,0
21.75,1.58,0,0,0,0,0,0,-13.62,-144.56,15.829,1.18,118.35,17.009,-2.01,-44.85,16.687,-2.15,147.24,15.326,0
21.818,1.61,0,0,0,0,0,0,-13.44,-145.17,15.704,1.08,117.87,16.765,-2.1,-45.35,16.753,-2.25,146.6,15.221,0
21.877,1.62,0,0,0,0,0,0,-13.26,-145.8,15.705,0.97,117.36,16.732,-2.2,-45.86,16.667,-2.37,145.94,15.116,0
21.931,1.62,0,0,0,0,0,0,-13.04,-146.44,15.76,0.88,116.85,16.637,-2.27,-46.38,16.717,-2.46,145.26,15.155,0
21.991,1.61,0,0,0,0,0,0,-12.9,-147.07,15.758,0.82,116.32,16.554,-2.31,-46.88,16.903,-2.51,144.58,15.13,0
22.056,1.59,0,0,0,0,0,0,-12.72,-147.72,15.734,0.8,115.76,16.342,-2.36,-47.39,16.877,-2.53,143.89,15.025,0
22.119,1.58,0,0,0,0,0,0,-12.4,-148.39,15.625,0.79,115.18,16.3,-2.5,-47.91,16.822,-2.54,143.18,14.984,0
22.18,1.57,0,0,0,0,0,0,0,0,0,0.77,114.6,16.299,-2.56,-48.46,16.631,-2.56,142.47,15.039,0
22.242,1.58,0,0,0,0,0,0,0,0,0,0.74,114.01,16.257,-2.58,-49.01,16.727,-2.59,141.76,15.094,0
22.306,1.59,0,0,0,0,0,0,0,0,0,0.7,113.41,16.182,-2.62,-49.56,16.732,-2.63,141.04,15.005,0
22.369,1.59,0,0,0,0,0,0,0,0,0,0.66,112.79,16.098,-2.67,-50.13,16.556,-2.68,140.3,14.98,0
22.431,1.59,0,0,0,0,0,0,0,0,0,0.62,112.15,16.023,-2.71,-50.72,16.381,-2.72,139.57,15.115,0
22.494,1.59,0,0,0,0,0,0,0,0,0,0.59,111.5,15.939,-2.73,-51.33,16.463,-2.75,138.82,15.01,0
22.557,1.58,0,0,0,0,0,0,0,0,0,0.57,110.84,15.907,-2.79,-51.93,16.363,-2.76,138.08,15.081,0
22.619,1.58,0,0,0,0,0,0,0,0,0,0.55,110.18,15.917,-2.85,-52.57,16.051,-2.78,137.33,15.2,0
22.682,1.58,0,0,0,0,0,0,0,0,0,0.54,109.51,15.875,-2.86,-53.23,16.103,-2.79,136.58,15.079,0
22.744,1.58,0,0,0,0,0,0,0,0,0,0.52,108.82,15.854,-2.88,-53.89,16.079,-2.81,135.82,15.054,0
22.806,1.58,0,0,0,0,0,0,0,0,0,0.5,108.13,15.864,-2.89,-54.57,15.979,-2.83,135.04,14.965,0
22.869,1.58,0,0,0,0,0,0,0,0,0,0.48,107.42,15.706,-2.91,-55.26,15.804,-2.85,134.26,15.116,0
22.93,1.58,0,0,0,0,0,0,0,0,0,0.46,106.7,15.758,-2.93,-55.97,15.841,-2.87,133.48,14.947,0
22.992,1.58,0,0,0,0,0,0,0,0,0,0.45,105.99,15.758,-2.95,-56.67,15.908,-2.89,132.68,14.986,0
23.054,1.58,0,0,0,0,0,0,0,0,0,0.44,105.26,15.706,-2.96,-57.39,15.779,-2.9,131.88,15.057,0
23.115,1.58,0,0,0,0,0,0,0,0,0,0.43,104.52,15.632,-2.97,-58.13,15.755,-2.91,131.09,15.208,0
23.177,1.57,0,0,0,0,0,0,0,0,0,0.42,103.77,15.642,-2.97,-58.87,15.731,-2.92,130.3,15.263,0
23.238,1.57,0,0,0,0,0,0,0,0,0,0.41,103.01,15.685,-2.98,-59.62,15.693,-2.93,129.5,15.158,0
23.299,1.57,0,0,0,0,0,0,0,0,0,0.4,102.26,15.737,-2.99,-60.38,15.745,-2.94,128.7,15.213,0
23.36,1.58,0,0,0,0,0,0,0,0,0,0.39,101.5,15.705,-3,-61.15,15.509,-2.95,127.89,15.364,0
23.421,1.58,0,0,0,0,0,0,0,0,0,0.38,100.73,15.747,-3.01,-61.93,15.577,-2.96,127.09,15.355,0
23.482,1.57,0,0,0,0,0,0,0,0,0,0.37,99.96,15.663,-3.02,-62.72,15.568,-2.97,126.27,15.266,0
23.542,1.57,0,0,0,0,0,0,0,0,0,0.36,99.16,15.547,-3.02,-63.51,15.484,-2.97,125.44,15.256,0
23.603,1.57,0,0,0,0,0,0,0,0,0,0.35,98.36,15.557,-3.03,-64.33,15.476,-2.98,124.6,15.216,0
23.663,1.57,0,0,0,0,0,0,0,0,0,0.35,97.56,15.6,-3.03,-65.14,15.543,-2.99,123.77,15.35,0
23.723,1.57,0,0,0,0,0,0,0,0,0,0.34,96.75,15.61,-3.04,-65.96,15.444,-2.99,122.94,15.389,0
23.783,1.57,0,0,0,0,0,0,0,0,0,0.34,95.93,15.558,-3.04,-66.79,15.375,-3,122.09,15.204,0
23.843,1.57,0,0,0,0,0,0,0,0,0,0.33,95.1,15.58,-3.05,-67.64,15.171,-3,121.22,15.084,0
23.903,1.57,0,0,0,0,0,0,0,0,0,0.32,94.27,15.538,-3.05,-68.51,15.223,-3.01,120.35,15.154,0
23.962,1.57,0,0,0,0,0,0,0,0,0,0.32,93.44,15.623,-3.06,-69.38,15.26,-3.02,119.47,15.193,0
24.022,1.57,0,0,0,0,0,0,0,0,0,0.31,92.6,15.539,-3.06,-70.25,15.252,-3.02,118.59,15.104,0
24.081,1.57,0,0,0,0,0,0,0,0,0,0.31,91.74,15.444,-3.06,-71.13,15.32,-3.02,117.69,15.063,0
24.141,1.57,0,0,0,0,0,0,0,0,0,0.31,90.87,15.403,-3.06,-72,15.372,-3.03,116.78,15.023,0
24.2,1.57,0,0,0,0,0,0,0,0,0,0.3,90,15.477,-3.07,-72.89,15.258,-3.03,115.86,14.918,0
24.258,1.57,0,0,0,0,0,0,0,0,0,0.3,89.12,15.488,-3.07,-73.8,15.159,-3.04,114.94,15.036,0
24.317,1.57,0,0,0,0,0,0,0,0,0,0.3,88.25,15.52,-3.07,-74.71,15.136,-3.04,114.01,15.091,0
24.376,1.57,0,0,0,0,0,0,0,0,0,0.29,87.36,15.478,-3.07,-75.62,15.188,-3.04,113.09,15.146,0
24.434,1.57,0,0,0,0,0,0,0,0,0,0.29,86.47,15.489,-3.07,-76.55,15.18,-3.05,112.16,15.185,0
24.493,1.57,0,0,0,0,0,0,0,0,0,0.29,85.57,15.489,-3.07,-77.48,15.142,-3.05,111.24,15.256,0
24.551,1.57,0,0,0,0,0,0,0,0,0,0.28,84.67,15.499,-3.08,-78.41,15.209,-3.05,110.31,15.231,0
24.609,1.57,0,0,0,0,0,0,0,0,0,0.28,83.77,15.584,-3.08,-79.35,15.11,-3.05,109.37,15.222,0
24.667,1.57,0,0,0,0,0,0,0,0,0,0.28,82.87,15.668,-3.08,-80.31,15.102,-3.06,108.43,15.293,0
24.725,1.57,0,0,0,0,0,0,0,0,0,0.28,81.96,15.659,-3.08,-81.26,15.154,-3.06,107.49,15.348,0
24.782,1.57,0,0,0,0,0,0,0,0,0,0.28,81.05,15.669,-3.08,-82.21,15.207,-3.06,106.55,15.387,0
24.84,1.57,0,0,0,0,0,0,0,0,0,0.27,80.14,15.711,-3.08,-83.17,15.244,-3.06,105.62,15.538,0
24.897,1.57,0,0,0,0,0,0,0,0,0,0.27,79.23,15.796,-3.08,-84.13,15.312,-3.06,104.69,15.529,0
24.955,1.57,0,0,0,0,0,0,0,0,0,0.27,78.32,15.838,-3.08,-85.09,15.349,-3.07,103.74,15.504,0
25.011,1.57,0,0,0,0,0,0,0,0,0,0.27,77.4,15.753,-3.08,-86.06,15.265,-3.07,102.78,15.319,0
25.012,1.57,0,0,0,0,0,0,0,0,0,0.27,76.48,15.786,-3.08,-87.04,15.257,-3.07,101.81,15.294,0
24.993,1.57,0,0,0,0,0,0,0,0,0,0.26,75.56,15.754,-3.08,-88.01,15.204,-3.07,100.84,15.333,0
25.013,1.57,0,0,0,0,0,0,0,0,0,0.26,74.63,15.712,-3.08,-88.99,15.301,-3.07,99.87,15.324,0
24.994,1.57,0,0,0,0,0,0,0,0,0,0.26,73.7,15.722,-3.08,-89.96,15.354,-3.07,98.89,15.155,0
25.011,1.57,0,0,0,0,0,0,0,0,0,0.26,72.77,15.68,-3.08,-90.92,15.467,-3.08,97.92,15.29,0
24.994,1.57,0,0,0,0,0,0,0,0,0,0.26,71.84,15.648,-3.08,-91.87,15.534,-3.08,96.94,15.265,0
25.012,1.57,0,0,0,0,0,0,0,0,0,0.26,70.91,15.69,-3.08,-92.82,15.344,-3.08,95.96,15.224,0
24.993,1.57,0,0,0,0,0,0,0,0,0,0.26,69.98,15.785,-3.08,-93.79,15.306,-3.08,94.98,15.183,0
