car speed(m/s),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
22.226,0,0,0,45.82,132.21,15.171,11.19,-76.52,15.42,32.44,114.2,15.845,0,0,0,0,0,0,0
22.224,0,0,0,47,133.75,15.163,11.51,-77.16,15.376,32.1,113.66,15.828,0,0,0,0,0,0,0
22.23,0,0,0,48.23,135.31,14.994,11.84,-77.78,15.463,31.72,113.12,15.752,0,0,0,0,0,0,0
22.22,0,0,0,49.41,136.92,15.034,12.14,-78.4,15.429,31.29,112.6,15.679,0,0,0,0,0,0,0
22.228,0,0,0,50.54,138.61,15.153,12.44,-79.03,15.473,30.86,112.06,15.668,0,0,0,0,0,0,0
22.22,0,0,0,4,17.48,15.526,12.8,-79.64,15.495,30.42,111.53,15.658,0,0,0,0,0,0,0
22.228,0,0,0,3.95,16.78,15.332,13.11,-80.25,15.495,29.96,111.01,15.707,0,0,0,0,0,0,0
22.219,0,0,0,3.94,16.06,15.368,13.44,-80.86,15.582,29.5,110.48,15.621,0,0,0,0,0,0,0
22.233,0,0,0,3.9,15.36,15.428,13.77,-81.46,15.571,28.98,109.97,15.671,0,0,0,0,0,0,0
22.215,0,0,0,3.86,14.65,15.376,14.16,-82.06,15.527,28.26,109.5,15.54,0,0,0,0,0,0,0
22.234,0,0,0,3.83,13.94,15.473,14.52,-82.65,15.505,27.62,109.01,15.547,0,0,0,0,0,0,0
22.22,0,0,0,3.79,13.25,15.517,14.88,-83.25,15.559,27.02,108.51,15.479,0,0,0,0,0,0,0
22.231,0,0,0,3.76,12.56,15.548,15.2,-83.85,15.559,26.52,107.96,15.367,0,0,0,0,0,0,0
22.218,0,0,0,3.73,11.85,15.393,15.57,-84.44,15.613,26.1,107.39,15.381,0,0,0,0,0,0,0
22.233,0,0,0,3.7,11.14,15.391,15.88,-85.04,15.612,25.62,106.84,15.395,0,0,0,0,0,0,0
22.25,0,0,0,3.69,10.43,15.39,16.29,-85.62,15.48,25.09,106.3,15.408,0,0,0,0,0,0,0
22.298,0,0,0,3.67,9.71,15.336,16.63,-86.22,15.49,24.62,105.73,15.297,0,0,0,0,0,0,0
22.357,0,0,0,3.65,8.98,15.247,17.03,-86.82,15.445,24.21,105.14,15.374,0,0,0,0,0,0,0
22.418,0,0,0,3.63,8.25,15.298,17.45,-87.43,15.324,23.75,104.56,15.388,0,0,0,0,0,0,0
22.479,0,0,0,3.63,7.5,15.259,17.88,-88.05,15.323,23.35,103.96,15.385,0,0,0,0,0,0,0
22.541,0,0,0,3.61,6.75,15.323,18.28,-88.68,15.334,22.89,103.36,15.399,0,0,0,0,0,0,0
22.602,0,0,0,3.6,6.01,15.371,18.7,-89.3,15.333,22.44,102.76,15.396,0,0,0,0,0,0,0
22.663,0,0,0,3.6,5.26,15.469,19.05,-89.95,15.421,22.05,102.14,15.469,0,0,0,0,0,0,0
22.724,0,0,0,3.6,4.51,15.44,19.49,-90.57,15.431,21.58,101.54,15.463,0,0,0,0,0,0,0
22.785,0,0,0,3.6,3.76,15.497,19.87,-91.21,15.529,21.08,100.93,15.505,0,0,0,0,0,0,0
22.845,0,0,0,3.6,3,15.529,20.26,-91.84,15.539,20.65,100.31,15.499,0,0,0,0,0,0,0
22.905,0,0,0,3.61,2.25,15.549,20.73,-92.46,15.539,20.27,99.67,15.614,0,0,0,0,0,0,0
22.965,0,0,0,3.61,1.48,15.59,21.14,-93.1,15.582,19.83,99.05,15.617,0,0,0,0,0,0,0
23.026,0,0,0,0,0,0,21.67,-93.71,15.494,19.41,98.41,15.667,0,0,0,0,0,0,0
23.086,0,0,0,0,0,0,22.08,-94.37,15.46,18.98,97.78,15.715,0,0,0,0,0,0,0
23.145,3.66,-0.85,15.569,0,0,0,22.5,-95.03,15.405,18.55,97.14,15.775,0,0,0,0,0,0,0
23.205,3.68,-1.64,15.512,0,0,0,22.99,-95.69,15.36,18.12,96.5,15.76,0,0,0,0,0,0,0
23.264,3.7,-2.43,15.555,0,0,0,23.48,-96.35,15.448,17.71,95.84,15.819,0,0,0,0,0,0,0
23.323,3.73,-3.23,15.597,0,0,0,23.94,-97.01,15.448,17.3,95.18,15.804,0,0,0,0,0,0,0
23.382,3.76,-4.04,15.503,0,0,0,24.44,-97.67,15.403,16.9,94.51,15.774,0,0,0,0,0,0,0
23.441,3.79,-4.85,15.447,0,0,0,24.86,-98.36,15.403,16.51,93.83,15.713,0,0,0,0,0,0,0
23.5,3.82,-5.69,15.431,0,0,0,25.44,-99.01,15.457,16.12,93.13,15.594,0,0,0,0,0,0,0
23.559,3.87,-6.51,15.389,0,0,0,25.95,-99.69,15.335,15.74,92.41,15.586,0,0,0,0,0,0,0
23.617,3.92,-7.35,15.447,0,0,0,26.38,-100.39,15.368,15.3,91.7,15.516,0,0,0,0,0,0,0
23.676,3.95,-8.2,15.492,0,0,0,26.88,-101.08,15.379,14.94,90.95,15.51,0,0,0,0,0,0,0
23.734,4,-9.04,15.525,0,0,0,27.5,-101.75,15.324,14.58,90.2,15.458,0,0,0,0,0,0,0
23.792,4.05,-9.89,15.567,0,0,0,28,-102.46,15.235,14.16,89.46,15.576,0,0,0,0,0,0,0
23.85,4.11,-10.74,15.473,0,0,0,28.47,-103.19,15.323,13.75,88.7,15.52,0,0,0,0,0,0,0
23.908,4.16,-11.6,15.578,0,0,0,29.02,-103.88,15.367,13.42,87.93,15.56,0,0,0,0,0,0,0
23.966,4.22,-12.47,15.485,0,0,0,29.64,-104.57,15.333,13.08,87.16,15.43,0,0,0,0,0,0,0
24.023,4.29,-13.34,15.528,0,0,0,30.17,-105.28,15.431,12.66,86.38,15.548,0,0,0,0,0,0,0
24.081,4.34,-14.22,15.572,0,0,0,30.72,-105.99,15.508,12.29,85.59,15.559,0,0,0,0,0,0,0
24.138,4.42,-15.1,15.466,0,0,0,31.2,-106.71,15.518,11.94,84.8,15.537,0,0,0,0,0,0,0
24.195,4.47,-15.99,15.51,0,0,0,31.81,-107.4,15.551,11.59,83.99,15.516,0,0,0,0,0,0,0
24.253,4.55,-16.88,15.603,0,0,0,32.34,-108.12,15.54,11.2,83.19,15.569,0,0,0,0,0,0,0
24.31,4.63,-17.77,15.644,0,0,0,32.81,-108.86,15.573,10.85,82.36,15.455,0,0,0,0,0,0,0
24.367,4.72,-18.66,15.612,0,0,0,33.35,-109.59,15.495,10.49,81.53,15.465,0,0,0,0,0,0,0
24.423,4.78,-19.57,15.506,0,0,0,33.89,-110.32,15.451,10.15,80.69,15.459,0,0,0,0,0,0,0
24.48,4.87,-20.48,15.561,0,0,0,34.49,-111.05,15.461,9.84,79.84,15.426,0,0,0,0,0,0,0
24.536,4.96,-21.39,15.603,0,0,0,34.97,-111.82,15.494,9.46,78.98,15.362,0,0,0,0,0,0,0
24.593,5.06,-22.31,15.557,0,0,0,35.51,-112.57,15.493,9.13,78.1,15.313,0,0,0,0,0,0,0
24.649,5.12,-23.25,15.44,0,0,0,36.05,-113.33,15.493,8.76,77.22,15.268,0,0,0,0,0,0,0
24.705,5.24,-24.19,15.348,0,0,0,36.61,-114.09,15.448,8.46,76.32,15.332,0,0,0,0,0,0,0
24.761,5.34,-25.15,15.346,0,0,0,37.15,-114.86,15.502,8.16,75.42,15.439,0,0,0,0,0,0,0
24.817,5.46,-26.1,15.395,0,0,0,37.69,-115.64,15.502,7.87,74.53,15.496,0,0,0,0,0,0,0
24.873,5.54,-27.07,15.454,0,0,0,38.16,-116.44,15.457,7.58,73.63,15.443,0,0,0,0,0,0,0
24.929,5.63,-28.03,15.487,0,0,0,38.77,-117.21,15.457,7.31,72.72,15.439,0,0,0,0,0,0,0
24.985,5.75,-28.99,15.458,0,0,0,39.23,-118.04,15.423,7.05,71.81,15.51,0,0,0,0,0,0,0
25.019,5.88,-29.96,15.416,0,0,0,39.76,-118.85,15.389,6.79,70.88,15.505,0,0,0,0,0,0,0
24.998,5.97,-30.94,15.424,0,0,0,40.2,-119.69,15.433,6.54,69.96,15.424,0,0,0,0,0,0,0
25.004,6.08,-31.91,15.408,0,0,0,40.74,-120.49,15.455,6.3,69.03,15.495,0,0,0,0,0,0,0
25.001,6.23,-32.89,15.318,0,0,0,41.37,-121.27,15.466,6.07,68.11,15.504,0,0,0,0,0,0,0
25.003,6.33,-33.87,15.355,0,0,0,41.78,-122.11,15.553,5.85,67.18,15.574,0,0,0,0,0,0,0
25.006,6.44,-34.86,15.304,0,0,0,42.19,-122.95,15.542,5.64,66.26,15.566,0,0,0,0,0,0,0
24.979,6.6,-35.83,15.403,0,0,0,42.67,-123.77,15.508,5.43,65.33,15.484,0,0,0,0,0,0,0
24.948,6.69,-36.8,15.399,0,0,0,43.14,-124.6,15.508,5.22,64.4,15.432,0,0,0,0,0,0,0
24.917,6.77,-37.77,15.472,0,0,0,43.57,-125.44,15.375,4.96,63.48,15.505,0,0,0,0,0,0,1
24.884,6.84,-38.73,15.554,0,0,0,43.89,-126.34,15.287,4.7,62.57,15.436,0,0,0,0,0,0,1
24.852,6.89,-39.69,15.547,0,0,0,44.29,-127.21,15.375,4.43,61.65,15.433,0,0,0,0,0,0,1
24.818,7,-40.64,15.392,0,0,0,44.65,-128.09,15.385,4.2,60.74,15.49,0,0,0,0,0,0,1
24.785,7.02,-41.6,15.451,0,0,0,45,-128.97,15.374,3.92,59.84,15.546,0,0,0,0,0,0,1
24.751,7.04,-42.56,15.459,0,0,0,45.33,-129.86,15.417,3.63,58.96,15.613,0,0,0,0,0,0,1
24.718,7.02,-43.51,15.465,0,0,0,45.64,-130.76,15.428,3.33,58.08,15.589,0,0,0,0,0,0,1
24.684,7,-44.47,15.411,0,0,0,45.96,-131.65,15.471,3,57.21,15.567,0,0,0,0,0,0,1
24.65,7.01,-45.41,15.495,0,0,0,46.27,-132.54,15.406,2.69,56.34,15.545,0,0,0,0,0,0,1
24.617,6.89,-46.36,15.523,0,0,0,46.34,-133.52,15.449,2.31,55.47,15.539,0,0,0,0,0,0,1
24.583,6.87,-47.28,15.561,0,0,0,46.58,-134.45,15.449,1.95,54.6,15.533,0,0,0,0,0,0,1
24.55,6.78,-48.21,15.66,0,0,0,46.78,-135.38,15.448,1.56,53.75,15.588,0,0,0,0,0,0,1
24.516,6.69,-49.12,15.71,0,0,0,46.96,-136.31,15.437,1.17,52.89,15.581,0,0,0,0,0,0,1
24.482,6.58,-50.03,15.751,0,0,0,47.15,-137.24,15.404,0.79,52.04,15.559,0,0,0,0,0,0,1
24.445,25.04,-97.15,15.317,0,0,0,6.48,-50.92,15.76,0,0,0,47.23,-138.2,15.326,0.43,51.19,15.566,1
24.404,25.08,-98.12,15.328,0,0,0,6.41,-51.81,15.767,0,0,0,47.42,-139.12,15.292,0.11,50.35,15.605,1
24.365,25.14,-99.08,15.282,0,0,0,6.44,-52.68,15.7,0,0,0,47.72,-139.99,15.292,-0.17,49.5,15.549,1
24.328,25.23,-100.02,15.282,0,0,0,6.42,-53.55,15.689,0,0,0,47.86,-140.91,15.292,-0.41,48.65,15.528,1
24.292,25.33,-100.95,15.341,0,0,0,6.42,-54.43,15.667,0,0,0,48.01,-141.8,15.291,-0.61,47.8,15.52,1
24.255,25.44,-101.87,15.294,0,0,0,6.45,-55.3,15.607,0,0,0,0,0,0,-0.78,46.93,15.47,1
24.219,25.58,-102.78,15.246,0,0,0,6.56,-56.16,15.549,0,0,0,0,0,0,-0.93,46.07,15.435,1
24.185,25.72,-103.7,15.212,0,0,0,6.62,-57.03,15.543,0,0,0,0,0,0,-1.04,45.2,15.418,1
24.152,25.87,-104.61,15.26,0,0,0,6.67,-57.9,15.463,0,0,0,0,0,0,-1.15,44.34,15.416,1
24.119,26,-105.51,15.273,0,0,0,6.73,-58.77,15.52,0,0,0,0,0,0,-1.11,43.48,15.414,1
24.086,26.13,-106.41,15.274,0,0,0,6.86,-59.62,15.563,0,0,0,0,0,0,-1.12,42.62,15.411,1
24.053,26.24,-107.32,15.263,0,0,0,6.89,-60.48,15.544,0,0,0,0,0,0,-1.16,41.77,15.469,1
24.021,26.35,-108.22,15.216,8.61,149.55,15.608,6.92,-61.34,15.488,0,0,0,0,0,0,-1.21,40.93,15.557,1
23.989,26.43,-109.13,15.217,8.29,148.73,15.627,7.03,-62.18,15.543,0,0,0,0,0,0,-1.3,40.09,15.414,1
23.956,26.5,-110.05,15.218,7.98,147.92,15.612,7.02,-63.04,15.574,0,0,0,0,0,0,-1.42,39.24,15.364,1
23.924,26.54,-110.96,15.22,7.67,147.11,15.718,7.1,-63.87,15.626,0,0,0,0,0,0,-1.52,38.39,15.41,1
23.892,26.58,-111.88,15.221,7.36,146.31,15.737,7.08,-64.71,15.617,0,0,0,0,0,0,-1.66,37.56,15.53,1
23.86,26.59,-112.79,15.269,7.05,145.52,15.81,7.07,-65.55,15.619,0,0,0,0,0,0,-1.8,36.74,15.509,1
23.828,26.58,-113.7,15.27,6.75,144.74,15.84,7.13,-66.38,15.561,0,0,0,0,0,0,-1.94,35.92,15.457,1
23.796,26.55,-114.62,15.235,6.44,143.97,15.894,7.1,-67.22,15.651,0,0,0,0,0,0,-2.07,35.1,15.515,1
23.764,26.51,-115.53,15.248,6.14,143.2,15.871,7.13,-68.03,15.642,0,0,0,0,0,0,-2.22,34.29,15.526,1
23.732,26.46,-116.44,15.343,5.85,142.43,15.847,7.06,-68.87,15.583,0,0,0,0,0,0,-2.38,33.48,15.475,1
23.7,26.4,-117.34,15.331,5.57,141.66,15.868,6.97,-69.69,15.574,0,0,0,0,0,0,-2.52,32.67,15.427,0
23.668,26.33,-118.24,15.377,5.3,140.88,15.801,7.04,-70.5,15.615,0,0,0,0,0,0,-2.65,31.85,15.427,0
23.636,26.35,-119.1,15.422,5.05,140.11,15.789,7.02,-71.33,15.536,0,0,0,0,0,0,-2.78,31.05,15.473,0
23.585,26.59,-119.91,15.384,4.83,139.34,15.811,7.04,-72.14,15.491,0,0,0,0,0,0,-2.88,30.25,15.424,0
23.599,26.76,-120.72,15.345,4.7,138.58,15.8,7.04,-72.95,15.399,0,0,0,0,0,0,-2.9,29.44,15.348,0
23.653,26.95,-121.53,15.333,4.61,137.8,15.822,7.27,-73.74,15.346,0,0,0,0,0,0,-2.88,28.62,15.321,0
23.698,27.06,-122.38,15.334,4.52,137.02,15.898,7.31,-74.57,15.357,0,0,0,0,0,0,-2.87,27.8,15.433,0
23.751,27.2,-123.22,15.415,4.4,136.25,15.964,7.38,-75.4,15.467,0,0,0,0,0,0,-2.89,26.98,15.495,0
23.812,27.22,-124.09,15.459,4.25,135.47,15.91,7.33,-76.24,15.512,0,0,0,0,0,0,-2.95,26.16,15.402,0
23.864,27.25,-124.97,15.48,4.12,134.68,15.89,7.38,-77.07,15.566,0,0,0,0,0,0,-3,25.33,15.48,0
23.917,27.28,-125.84,15.464,4.02,133.87,15.793,7.45,-77.9,15.509,0,0,0,0,0,0,-3.02,24.49,15.328,0
23.978,27.48,-126.69,15.392,3.96,133.06,15.807,7.54,-78.74,15.552,0,0,0,0,0,0,-3.01,23.64,15.456,0
24.037,27.45,-127.59,15.426,3.9,132.24,15.797,7.53,-79.58,15.654,0,0,0,0,0,0,-3,22.79,15.533,0
24.095,27.39,-128.5,15.47,3.83,131.41,15.767,7.59,-80.42,15.634,0,0,0,0,0,0,-3.02,21.94,15.533,0
24.156,27.48,-129.38,15.547,3.74,130.58,15.801,7.62,-81.27,15.613,0,0,0,0,0,0,-3.05,21.09,15.503,0
24.217,27.46,-130.3,15.485,3.66,129.74,15.837,7.65,-82.14,15.544,0,0,0,0,0,0,-3.08,20.22,15.458,0
24.276,27.47,-131.21,15.481,3.59,128.9,15.873,7.58,-83.02,15.575,0,0,0,0,0,0,-3.17,19.35,15.535,0
24.337,27.47,-132.13,15.466,3.55,128.06,15.909,7.61,-83.89,15.556,0,0,0,0,0,0,-3.25,18.47,15.609,0
24.399,27.46,-133.05,15.554,3.52,127.21,15.89,7.65,-84.77,15.597,0,0,0,0,0,0,-3.27,17.59,15.62,0
24.461,27.52,-133.96,15.558,3.48,126.36,15.829,7.78,-85.64,15.687,0,0,0,0,0,0,-3.3,16.7,15.529,0
24.523,27.5,-134.9,15.516,3.43,125.49,15.81,7.68,-86.54,15.714,0,0,0,0,0,0,-3.34,15.8,15.531,0
24.586,27.47,-135.84,15.592,3.39,124.62,15.793,7.67,-87.43,15.704,0,0,0,0,0,0,-3.36,14.91,15.639,0
24.649,27.43,-136.79,15.575,3.35,123.74,15.82,7.66,-88.33,15.752,0,0,0,0,0,0,-3.38,14,15.517,0
24.712,27.5,-137.73,15.558,3.33,122.86,15.901,7.76,-89.21,15.798,0,0,0,0,0,0,-3.39,13.09,15.565,0
24.775,27.45,-138.69,15.542,3.31,121.97,15.765,7.64,-90.13,15.639,0,0,0,0,0,0,-3.39,12.18,15.7,0
24.839,27.39,-139.67,15.525,3.3,121.06,15.792,7.62,-91.06,15.581,0,0,0,0,0,0,-3.38,11.26,15.649,0
24.903,27.32,-140.65,15.519,3.29,120.16,15.842,7.71,-91.99,15.574,0,0,0,0,0,0,-3.38,10.33,15.589,0
24.967,27.34,-141.62,15.467,3.27,119.25,15.913,7.67,-92.92,15.615,0.32,149.16,15.754,0,0,0,-3.38,9.39,15.545,0
25.026,27.24,-142.63,15.521,3.25,118.34,15.877,7.63,-93.88,15.569,0.31,148.23,15.673,0,0,0,-3.37,8.45,15.655,0
25.024,27.13,-143.64,15.515,3.25,117.42,15.862,7.62,-94.83,15.5,0.3,147.3,15.778,0,0,0,-3.36,7.51,15.655,0
25.004,27,-144.65,15.511,3.25,116.51,15.978,7.62,-95.79,15.533,0.3,146.36,15.72,0,0,0,-3.33,6.58,15.714,0
25.004,27.11,-145.61,15.541,3.25,115.6,15.919,7.62,-96.74,15.465,0.3,145.43,15.742,0,0,0,-3.31,5.66,15.724,0
25.007,26.95,-146.62,15.593,3.25,114.7,15.992,7.63,-97.7,15.41,0.3,144.5,15.583,0,0,0,-3.29,4.72,15.6,0
24.997,0,0,0,3.24,113.8,16.021,7.68,-98.66,15.408,0.29,143.56,15.69,0,0,0,-3.27,3.79,15.602,0
25.014,0,0,0,3.24,112.9,16.007,7.61,-99.63,15.466,0.28,142.63,15.781,0,0,0,-3.26,2.86,15.483,0
25,0,0,0,3.24,112,16.07,7.62,-100.59,15.412,0.28,141.71,15.79,0,0,0,-3.25,1.92,15.625,0
25.01,0,0,0,3.24,111.11,16.09,7.54,-101.56,15.408,0.28,140.79,15.881,0,0,0,-3.25,0.98,15.58,0
25.003,0,0,0,3.24,110.21,16.077,7.58,-102.53,15.355,0.28,139.87,15.882,0,0,0,0,0,0,0
